species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Vitreoscilla_filiformis,0.0004832638331996792,0.019855294117647058,5.360568600763134,4.0143443839723626e-29,0.00400962309542903,0.12941176470588237,6.640706341188235e-29,True
s__Xanthomonas_sontii,2.72654370489174e-06,0.01039764705882353,11.896843290081913,5.172948710427902e-29,0.0008019246190858059,0.10588235294117647,8.539640536429534e-29,True
s__Acinetobacter_proteolyticus,0.001965613472333601,0.005253235294117647,1.4182265076940397,6.480690966945794e-29,0.0024057738572574178,0.11764705882352941,1.067643728369008e-28,True
s__Kineosporiaceae_bacterium_SCSIO_59966,1.6030473135525263e-05,0.0006732941176470588,5.392339163095052,7.547629330782868e-29,0.0016038492381716118,0.11176470588235295,1.2408551101431094e-28,True
s__Nesterenkonia_sphaerica,0.0034517481956696074,0.032063294117647065,3.2155234862079256,7.629002133112228e-29,0.0016038492381716118,0.11176470588235295,1.2516576394982896e-28,True
s__Escherichia_coli,0.10383024057738571,1.0654005294117648,3.3590973064364236,8.398130959153099e-29,0.19486768243785085,0.6,1.3750218517137963e-28,True
s__GGB42674_SGB66070,0.017109157979149962,0.010919294117647062,-0.6478891594487257,8.789700018073977e-29,0.012830793905372895,0.17647058823529413,1.4361902483519647e-28,True
s__Pantoea_anthophila,0.02144344827586207,0.011940411764705882,-0.8446843271033715,1.5962407362575002e-28,0.0136327185244587,0.17647058823529413,2.6028496903464135e-28,True
s__GGB1153_SGB1481,0.026079751403368084,0.005155294117647059,-2.338803452089039,2.1823788395770957e-28,0.006415396952686447,0.1411764705882353,3.5513659731610984e-28,True
s__Comamonadaceae_bacterium_OTU4NAUVB1,0.006469719326383322,0.00983764705882353,0.604610163754183,2.3556204223051445e-28,0.011226944667201283,0.16470588235294117,3.8254892630524605e-28,True
s__Flavobacterium_hiemivividum,2.796311146752205e-05,0.008853176470588236,8.306521326907395,9.61157759712774e-28,0.00400962309542903,0.12352941176470589,1.5577384381551855e-27,True
s__Microcella_flavibacter,0.00012817161186848435,0.001902705882352941,3.8919028526014614,1.3004663228125966e-27,0.00400962309542903,0.12352941176470589,2.1033858136179447e-27,True
s__Sphingomonas_palmae,8.539695268644748e-05,0.005548294117647058,6.021714204514458,1.7727449110901248e-27,0.0032076984763432237,0.11764705882352941,2.8614609776990095e-27,True
s__Mediterraneibacter_catenae,0.5169110825982358,0.02030305882352941,-4.670147124415902,2.7756125145543178e-27,0.04971932638331997,0.3058823529411765,4.471198385340524e-27,True
s__Streptomyces_thermoviolaceus,1.879711307137129e-05,0.005862823529411765,8.284933067087314,2.842350765224446e-27,0.0016038492381716118,0.10588235294117647,4.569493483731051e-27,True
s__Pseudoalteromonas_nigrifaciens,4.230152365677626e-05,0.014719823529411764,8.442831630865854,2.9662297537773838e-27,0.0016038492381716118,0.10588235294117647,4.7590714322653206e-27,True
