species,control_mean,case_mean,log2_fold_change,p_value,control_prevalence,case_prevalence,p_adjusted,significant
s__Flavobacterium_sp_HXWNR29,0.05316872493985565,0.0005648235294117646,-6.55663361642793,2.605756080617403e-07,0.15637530072173217,0.011764705882352941,7.787813689055123e-07,True
s__Bacteroides_eggerthii,0.013876447473937448,0.0,-27.04806303858377,2.6098199171878133e-07,0.13793103448275862,0.0,7.787813689055123e-07,True
s__Candidatus_Cibionibacter_quicibialis,0.09071995188452285,0.0006266470588235293,-7.177622721536284,2.760207750819869e-07,0.18043303929430635,0.029411764705882353,8.192997609576437e-07,True
s__Diaphorobacter_SGB61891,0.031057914995990376,2.8647058823529413e-05,-10.082353208124552,2.775779269538218e-07,0.1467522052927025,0.0058823529411764705,8.195853527426002e-07,True
s__Aeromonas_media,0.08126397754611067,7.929411764705883e-05,-10.00118460241105,2.8370415034820196e-07,0.1467522052927025,0.0058823529411764705,8.332881065201116e-07,True
s__Cloacibacterium_rupense,0.003403127506014435,3e-06,-10.14763494351086,3.0301634153753964e-07,0.14595028067361668,0.0058823529411764705,8.853758729299986e-07,True
s__Gemmiger_formicilis,0.03402721732157177,0.0009344117647058823,-5.186486776426856,3.4618866165620444e-07,0.15477145148356056,0.011764705882352941,1.0062789595291745e-06,True
s__GGB47687_SGB2286,0.0126726303127506,0.0,-26.917140769730604,3.7359163922232213e-07,0.1347233360064154,0.0,1.0803345855861996e-06,True
s__Dysgonomonas_sp_HDW5A,0.004305902165196471,0.0,-25.359812237985942,4.4669602519749847e-07,0.13311948676824378,0.0,1.2851101032604956e-06,True
s__Alistipes_finegoldii,0.011218620689655174,0.0,-26.741320081905588,4.883716599516421e-07,0.132317562149158,0.0,1.3837198266142593e-06,True
s__Prevotella_paludivivens,0.005155581395348838,0.0,-25.619631821803676,4.88371703510915e-07,0.132317562149158,0.0,1.3837198266142593e-06,True
s__Arcobacter_suis,0.03714633520449078,0.0,-28.46864464687954,4.88371703510915e-07,0.132317562149158,0.0,1.3837198266142593e-06,True
s__GGB3277_SGB4327,0.018998155573376103,0.0,-27.50128412870648,5.338792197235428e-07,0.13151563753007217,0.0,1.504645106916009e-06,True
s__Dialister_hominis,0.036194330392943064,0.0017394117647058826,-4.379092245023866,5.364153678844952e-07,0.14354450681635927,0.0058823529411764705,1.504645106916009e-06,True
s__Anaerostipes_hadrus,0.03823697674418605,0.0003504705882352941,-6.769530863964615,6.09273144207302e-07,0.1491579791499599,0.011764705882352941,1.700508626369634e-06,True
s__GGB57993_SGB79614,0.007938740978348034,0.0,-26.242406907848565,6.378098621285061e-07,0.12991178829190056,0.0,1.7626175588683405e-06,True
s__Proteiniclasticum_ruminis,0.025794186046511625,0.0,-27.942470686655014,6.37809918806191e-07,0.12991178829190056,0.0,1.7626175588683405e-06,True
s__Streptococcus_suis,0.6929304490777866,0.003426117647058824,-7.659992009124696,6.927382210485787e-07,0.18043303929430635,0.03529411764705882,1.8890338670308413e-06,True
s__GGB26696_SGB38877,0.005953728949478748,0.0,-25.827290231123733,6.97023067851308e-07,0.12910986367281477,0.0,1.8890338670308413e-06,True
s__GGB4552_SGB6276,0.012608267842822775,0.0,-26.909794858561202,6.970231915782248e-07,0.12910986367281477,0.0,1.8890338670308413e-06,True
s__Thauera_phenylacetica,0.005389214113873296,0.0,-25.683571597228035,6.970231915782248e-07,0.12910986367281477,0.0,1.8890338670308413e-06,True
s__GGB9345_SGB14311,0.01814081796311147,0.0,-27.434664274997452,7.616544169061682e-07,0.12830793905372895,0.0,2.0542698455978864e-06,True
s__GGB9715_SGB15265,0.02024979951884523,0.00020147058823529414,-6.651193863914157,7.712685440341101e-07,0.13793103448275862,0.0058823529411764705,2.0702471445126112e-06,True
s__GGB4569_SGB6310,0.017039470729751403,0.0,-27.344305291661023,8.321921920470406e-07,0.12750601443464316,0.0,2.2231419987542367e-06,True
s__Lachnospira_eligens,0.02054700882117081,0.001978235294117647,-3.376642381969443,9.897657271185909e-07,0.13793103448275862,0.0058823529411764705,2.615794866508712e-06,True
s__Tepidiphilus_succinatimandens,0.008923079390537289,0.0,-26.411038356308392,9.931625813681296e-07,0.12590216519647154,0.0,2.615794866508712e-06,True
s__GGB4682_SGB6472,0.017666720128307938,0.0,-27.396458991996813,9.93162756802773e-07,0.12590216519647154,0.0,2.615794866508712e-06,True
s__Faecalibacterium_SGB15346,0.03881759422614275,0.0013225882352941175,-4.8752747236706195,1.0553180092358958e-06,0.14514835605453089,0.011764705882352941,2.7665112298193346e-06,True
s__Vitreoscilla_massiliensis,0.0031287730553327983,0.0,-24.89909372721989,1.0848053718223433e-06,0.12510024057738572,0.0,2.8174808670245007e-06,True
s__GGB4567_SGB6308,0.012396559743384123,0.0,-26.885364574430575,1.0848054675174548e-06,0.12510024057738572,0.0,2.8174808670245007e-06,True
s__Bacteroides_cellulosilyticus,0.038809759422614276,4.811764705882353e-05,-9.655634683357377,1.2219890579141983e-06,0.1339214113873296,0.0058823529411764705,3.1591514354371667e-06,True
s__Thauera_terpenica,0.17701934242181236,0.0004748235294117646,-8.542299561839998,1.2359071564268513e-06,0.1748195669607057,0.03529411764705882,3.1804766731902e-06,True
s__Dorea_longicatena,0.020137425821972733,0.00023770588235294117,-6.404557259500401,1.2487953702593934e-06,0.14274258219727345,0.011764705882352941,3.198968962171323e-06,True
s__GGB4694_SGB6493,0.015205124298315957,0.0,-27.17998237869677,1.2938432275128357e-06,0.12349639133921411,0.0,3.2993002301577308e-06,True
s__GGB4585_SGB6340,0.011492566158781073,0.0,-26.776125742933782,1.5425351529894519e-06,0.1218925421010425,0.0,3.898028363950847e-06,True
s__GGB9708_SGB15234,0.01012813151563753,0.0,-26.593792817002456,1.5425352884083566e-06,0.1218925421010425,0.0,3.898028363950847e-06,True
s__Bifidobacterium_catenulatum,0.0054770088211708095,0.0,-25.706884894499186,1.684015525101508e-06,0.1210906174819567,0.0,4.236469549694825e-06,True
s__Coprococcus_comes,0.01019797113071371,0.0002836470588235294,-5.168040949701678,1.8271704869237734e-06,0.13071371291098638,0.0058823529411764705,4.543082044717621e-06,True
s__GGB4651_SGB6438,0.009681210906174818,0.0,-26.528684187261682,1.838287939092928e-06,0.12028869286287089,0.0,4.543082044717621e-06,True
s__GGB4571_SGB6317,0.01100467522052927,0.0,-26.713541340005587,1.8382881000907309e-06,0.12028869286287089,0.0,4.543082044717621e-06,True
s__GGB3278_SGB4328,0.012836375300721731,0.0,-26.935662646168442,1.8382881000907309e-06,0.12028869286287089,0.0,4.543082044717621e-06,True
s__Blautia_faecis,0.010184787489975942,3.976470588235294e-05,-8.000708048765981,1.86964814034409e-06,0.12991178829190056,0.0058823529411764705,4.600318450583485e-06,True
s__Bacteroides_graminisolvens,0.11854260625501203,0.0010161764705882354,-6.866110766551716,1.9472465463878422e-06,0.1724137931034483,0.03529411764705882,4.7703288756488185e-06,True
s__Anaerobutyricum_hallii,0.013150529270248597,0.0002622941176470588,-5.6477910623588965,1.979698590777105e-06,0.12991178829190056,0.0058823529411764705,4.8287430844606775e-06,True
s__Tessaracoccus_defluvii,0.004194843624699278,0.0,-25.322113729512886,2.006492526489709e-06,0.11948676824378508,0.0,4.8729104214750076e-06,True
s__GGB39817_SGB99175,0.018428444266238974,0.0,-27.45735905036942,2.1898705575481542e-06,0.11868484362469928,0.0,5.295333546484977e-06,True
s__Simiaoa_sunii,0.026168203688853246,0.00024923529411764706,-6.714162128370776,2.359400847722963e-06,0.13712910986367283,0.011764705882352941,5.680789165547563e-06,True
s__Succinispira_mobilis,0.0034901603849238167,0.0,-25.056790040325694,2.389770424645512e-06,0.11788291900561347,0.0,5.729321402675779e-06,True
s__Faecalibacillus_intestinalis,0.01204214915797915,1.7999999999999997e-05,-9.385872267472694,2.4327374568943143e-06,0.12750601443464316,0.0058823529411764705,5.799995266762945e-06,True
s__Pseudomonas_chengduensis,0.10829132317562146,0.005601705882352942,-4.272907580550334,2.439926707586551e-06,0.19005613472333602,0.047058823529411764,5.799995266762945e-06,True
s__Oscillibacter_sp_ER4,0.018386776263031274,0.004678352941176471,-1.974595922760676,2.4548108249180614e-06,0.12991178829190056,0.0058823529411764705,5.810754737464272e-06,True
s__GGB4689_SGB6487,0.009830681635926224,0.0,-26.55078813194078,2.607660978175322e-06,0.11708099438652766,0.0,6.146629448556116e-06,True
s__GGB9602_SGB15031,0.012789366479550921,2.5352941176470585e-05,-8.978570284740922,2.6348804099856824e-06,0.12670408981555734,0.0058823529411764705,6.18480297071953e-06,True
s__Blautia_massiliensis,0.010437890938251806,4.858823529411765e-05,-7.747004526929028,3.0260190817782712e-06,0.1347233360064154,0.011764705882352941,7.073319603656709e-06,True
s__Arcobacter_caeni,0.05279651964715316,0.0,-28.975867591921162,3.103937967746292e-06,0.11547714514835605,0.0,7.22534937720195e-06,True
s__GGB41936_SGB59041,0.01815248596631916,7.176470588235294e-06,-11.304584925712005,3.436558504316095e-06,0.12429831595829992,0.0058823529411764705,7.966567441823675e-06,True
s__Methanobrevibacter_smithii,0.01621574979951885,0.0001294705882352941,-6.9686264195665695,3.5610352320771886e-06,0.12429831595829992,0.0058823529411764705,8.221155412326349e-06,True
s__Acinetobacter_bohemicus,0.08947702485966318,9.223529411764705e-05,-9.921981101264016,3.613570479327678e-06,0.13311948676824378,0.011764705882352941,8.308250159437816e-06,True
s__Odoribacter_splanchnicus,0.011345621491579791,0.001167235294117647,-3.280968210948772,3.671382773841303e-06,0.12590216519647154,0.0058823529411764705,8.406717290306004e-06,True
s__Bacteroides_fragilis,0.019955461106655976,0.008919176470588234,-1.161801192500136,3.7260974937746145e-06,0.14434643143544507,0.01764705882352941,8.497319894339669e-06,True
s__Klebsiella_pneumoniae,0.2984988452285485,0.029768764705882352,-3.3258540845346105,3.866930725362824e-06,0.14595028067361668,0.01764705882352941,8.78278597946779e-06,True
s__GGB33469_SGB15236,0.008363231756214916,0.0,-26.317557223972532,4.027996179035951e-06,0.11307137129109864,0.0,9.075124707890228e-06,True
s__GGB1627_SGB2227,0.006464683239775461,0.0,-25.946076368303643,4.02799652810101e-06,0.11307137129109864,0.0,9.075124707890228e-06,True
s__Bacteroides_thetaiotaomicron,0.011601355252606254,0.004011058823529411,-1.5322382960677778,4.086462301021639e-06,0.13552526062550121,0.011764705882352941,9.17002140349256e-06,True
s__GGB4683_SGB6473,0.009842654370489173,0.0,-26.552544113410427,4.392690862820064e-06,0.11226944667201283,0.0,9.778967410124267e-06,True
s__GGB9760_SGB15374,0.0055672734562951095,0.0,-25.730467638130953,4.392691243050472e-06,0.11226944667201283,0.0,9.778967410124267e-06,True
s__GGB9708_SGB15233,0.006480986367281477,0.0,-25.949710085830606,4.789946690230576e-06,0.11146752205292702,0.0,1.0579371360441497e-05,True
s__Acidovorax_facilis,0.005968011226944667,0.0,-25.830746937960082,4.789947104371017e-06,0.11146752205292702,0.0,1.0579371360441497e-05,True
s__Bifidobacterium_bifidum,0.009695966319165998,0.015562235294117646,0.6825926998064451,4.832009124123439e-06,0.13311948676824378,0.011764705882352941,1.0630420073071568e-05,True
s__Clostridiaceae_bacterium,0.009315204490777867,0.0001836470588235294,-5.664578973926031,4.947426522312199e-06,0.13071371291098638,0.011764705882352941,1.0833314624469575e-05,True
s__GGB9747_SGB15356,0.0064619887730553325,0.00023623529411764707,-4.77368122767775,4.962855362724922e-06,0.1218925421010425,0.0058823529411764705,1.0833314624469575e-05,True
s__Streptococcus_thermophilus,0.998561475541299,0.033005,-4.919094741219211,4.995964482054878e-06,0.18283881315156375,0.047058823529411764,1.0863318117956537e-05,True
s__Faecalibacterium_sp_HTFF,0.012535004009623095,0.0,-26.90138722826093,5.2226317207494036e-06,0.11066559743384122,0.0,1.1312341294750637e-05,True
s__GGB4549_SGB6271,0.005931555733761027,0.0,-25.821907234286325,5.6938609492957716e-06,0.10986367281475541,0.0,1.2285599971365106e-05,True
s__GGB4693_SGB6491,0.0126885084202085,5.676470588235294e-05,-7.804310043637946,5.892234206034202e-06,0.11948676824378508,0.0058823529411764705,1.2664917201475814e-05,True
s__Alistipes_shahii,0.01096540497193264,0.0020031764705882352,-2.4525976088021477,6.162665699740541e-06,0.13071371291098638,0.011764705882352941,1.312297989863943e-05,True
s__Sphaerotilus_natans,0.03912466720128308,0.004858235294117647,-3.0095741849622297,6.2028593581596374e-06,0.132317562149158,0.011764705882352941,1.312297989863943e-05,True
